Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Health expenditure, total (% of GDP) [SH.XPD.TOTL.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Population, total [SP.POP.TOTL]"
1995,YR1995,Egypt,EGY,4.64246669899427,944.201911644478,2.64100975549444,15.7422305021593,11.3000001907349,3.53650574,66.7606829268293,63714386
1995,YR1995,Turkey,TUR,7.87826687648545,2897.87020756225,6.17717643376217,88.1077025675226,7.64400005340576,2.5070327,66.9819268292683,58486381
1995,YR1995,India,IND,7.57449184033352,370.10135530585,5.5272867183197,10.2248875562216,3.97399997711182,4.01863098,60.424756097561,960482795
1995,YR1995,Iran,IRN,2.40104455220116,1591.71606567936,0.963271410053565,49.6559858462748,11.7379999160767,3.74488392,68.3059268292683,60575644
1995,YR1995,Brazil,BRA,4.41673135388506,4840.78778223205,2.74944571319928,66.0078763077923,9.90799999237061,6.51076042,67.6016829268293,162296612
1995,YR1995,South Africa,ZAF,3.11563360981586,3752.64919206262,0.954307372099095,8.68042526579112,16.8999996185303,8.28382429,61.2738536585366,41426810
1995,YR1995,Mexico,MEX,-5.75868237989781,3655.59759232554,-7.45864519189669,34.9992750012079,6.88500022888184,5.05567469,72.7397804878049,94045579
1995,YR1995,China,CHN,10.9492273737601,609.656765306952,9.75027900204208,16.8970639749861,4.55000019073486,3.52548646,70.2104634146341,1204855000
1995,YR1995,Morocco,MAR,-5.40544786715996,1428.06618232968,-6.84720244716553,6.1235816477553,22.8999996185303,3.55457954,66.7847073170732,27075232
1995,YR1995,Thailand,THA,8.12026184388384,2845.41031378063,7.04777164985269,5.81818181818183,1.13999998569489,3.53153362389,70.2006097560976,59491790
1996,YR1996,Egypt,EGY,4.98873054041076,1041.52344796082,3.01765708114657,7.18710369720016,9,3.8968055,67.2320975609756,64933456
1996,YR1996,Turkey,TUR,7.37966447593659,3053.9508281437,5.68678769735543,80.3469027803627,6.62900018692017,2.90240258,67.5862195121951,59423208
1996,YR1996,India,IND,7.54952224886527,396.014612284923,5.52679693407745,8.97714907508163,3.95099997520447,3.89701725,60.8929756097561,978893217
1996,YR1996,Iran,IRN,6.3505260187428,1955.14602857029,4.61072524835674,28.9373440168133,12.7700004577637,3.6397587,68.7221463414634,61583089
1996,YR1996,Brazil,BRA,2.20753552794351,5156.8054082658,0.585799529450128,15.7574360967244,11.1960000991821,6.70694533,68.1047317073171,164913306
1996,YR1996,South Africa,ZAF,4.30672786823662,3496.97292936993,2.37083357069633,7.35412590631834,21,8.47180399,60.5344390243903,42210216
1996,YR1996,Mexico,MEX,5.87476668289335,4153.14790134089,4.05809253006983,34.3776581888577,5.24900007247925,4.59296607,73.0989024390244,95687452
1996,YR1996,China,CHN,9.92837246254463,709.413462811663,8.78218488223008,8.32401506091792,4.59000015258789,3.78557264,70.4813902439025,1217550000
1996,YR1996,Morocco,MAR,12.3728762760077,1556.78638736535,10.776556824493,2.98680922773017,18.1000003814697,3.48780701,67.1181707317073,27460603
1996,YR1996,Thailand,THA,5.65237394221067,3042.9039892406,4.49368294048513,5.80510554737358,1.07000005245209,3.84083691537098,70.2278780487805,60151472
1997,YR1997,Egypt,EGY,5.49112381890447,1185.71812129932,3.54932097194043,4.62560578826431,8.39999961853027,4.6100914,67.6640731707317,66151117
1997,YR1997,Turkey,TUR,7.57766364752537,3144.38945307295,5.88612346626465,85.7332415962258,6.84100008010864,3.13356918,68.1996829268293,60372499
1997,YR1997,India,IND,4.04982084906756,411.387720784423,2.11862922834085,7.16425361957075,4.38600015640259,4.24807061,61.3429024390244,997405318
1997,YR1997,Iran,IRN,1.35039927429959,1816.58669402593,-0.47177130487411,17.3492257538712,11.7170000076294,4.00157739,69.0763170731707,62710557
1997,YR1997,Brazil,BRA,3.39502863721179,5271.41113672328,1.77086338658674,6.92531694489086,11.5839996337891,6.69245518,68.6058536585366,167545164
1997,YR1997,South Africa,ZAF,2.64682909480527,3555.00467560222,0.945778272710541,8.59777015437391,22.8999996185303,8.58889772,59.6211463414634,42921506
1997,YR1997,Mexico,MEX,6.96288880136974,4939.8237441835,5.20994374866599,20.6264843287042,4.05499982833862,4.71655688,73.4371463414634,97281739
1997,YR1997,China,CHN,9.23076923104875,781.743728021845,8.1185481188248,2.80684318511906,4.59999990463257,4.0245977,70.8002682926829,1230075000
1997,YR1997,Morocco,MAR,-1.56070235606455,1393.2241492985,-2.87105467746451,1.03819895051603,16.8999996185303,3.71017017,67.4579268292683,27825901
1997,YR1997,Thailand,THA,-2.75359057836718,2467.4928954863,-3.89126328959948,5.62579747129106,0.870000004768372,3.99659605300665,70.2823902439024,60863506
1998,YR1998,Egypt,EGY,4.0363733652399,1258.99755190444,2.14189478455222,3.87257546427495,8.02999973297119,4.92653751,68.0360975609756,67378056
1998,YR1998,Turkey,TUR,2.30821348895761,4496.50316949696,0.711622506425996,84.6413356970869,6.88800001144409,3.59344282,68.8122682926829,61329590
1998,YR1998,India,IND,6.18441582070948,409.194385865156,4.24370766384105,13.2308409037968,4.11899995803833,4.29626147,61.7750243902439,1015974042
1998,YR1998,Iran,IRN,2.08001178026433,1725.75627755951,0.178893342787688,17.8661342130398,11.6859998703003,4.40401883,69.4155609756098,63900630
