Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Health expenditure, total (% of GDP) [SH.XPD.TOTL.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Population, total [SP.POP.TOTL]"
1995,YR1995,Norway,NOR,4.153950576184,34875.1973878148,3.61466184268365,2.45640537256603,6.30700016021729,7.71662839,77.7365853658537,4359184
1995,YR1995,Australia,AUS,3.88933224974315,20384.6692890518,2.64187844838226,4.63813578310553,8.4689998626709,7.25973523,77.8292682926829,18072000
1995,YR1995,Germany,DEU,1.73764063121563,31729.6997633451,1.43906815827275,1.72367114881328,8.15799999237061,9.43119261,76.4219512195122,81678051
1995,YR1995,Switzerland,CHE,0.480866433945152,48540.5774945952,-0.188350758754993,1.79871896113008,3.32699990272522,9.33430835,78.4170731707317,7040687
1995,YR1995,United States,USA,2.71897578878193,28782.1750200918,1.503065305429,2.80541968853637,5.59999990463257,13.08665381,75.6219512195122,266278000
1995,YR1995,France,FRA,2.08508453656513,27037.9721319292,1.71696930744902,1.77811550151975,12.039999961853,10.11255569,77.7512195121951,59541900
1995,YR1995,Italy,ITA,2.88683674182421,20596.388648946,2.88520233329646,5.24437122460213,11.668999671936,7.0951993,78.1707317073171,56844303
1995,YR1995,Sweden,SWE,4.02430654077801,29914.331746409,3.47991637150817,2.52841957010188,8.89700031280518,7.96455521,78.7404878048781,8826939
1995,YR1995,Canada,CAN,2.67770843566169,20577.4893858895,1.83088493133442,2.16822906702354,9.5,8.86134848,77.9775609756098,29354000
1995,YR1995,Austria,AUT,2.66798367090327,30252.7946924041,2.5109128334919,2.25009956192754,4.34700012207031,9.54702427,76.6682926829268,7948278
1996,YR1996,Norway,NOR,5.02799544332582,37321.4433901355,4.49697473296244,1.2586941889163,5.03599977493286,7.66637874,78.1504878048781,4381336
1996,YR1996,Australia,AUS,3.94880727673363,21944.1550635542,2.59204003632408,2.61241970021413,8.50599956512451,7.44304741,78.0780487804878,18311000
1996,YR1996,Germany,DEU,0.817897617014211,30564.2478058387,0.526477107366105,1.44606103619587,8.82499980926514,9.91390845,76.6731707317073,81914831
1996,YR1996,Switzerland,CHE,0.601093571481528,46610.0597512362,0.157782149580882,0.818824340630962,3.70499992370605,9.71518238,78.8960975609756,7071850
1996,YR1996,United States,USA,3.79588122942587,30068.2309182833,2.59530524810896,2.93120419993459,5.40000009536743,13.04409768,76.0268292682927,269394000
1996,YR1996,France,FRA,1.3880040284493,27015.2589591084,1.0296469826807,2.00477822790072,12.8450002670288,10.10873665,77.9536585365854,59753098
1996,YR1996,Italy,ITA,1.28636643695856,23020.0991388792,1.25790450299574,3.97452428385338,11.8739995956421,7.19380887,78.5219512195122,56860281
1996,YR1996,Sweden,SWE,1.51786123912999,32587.2641044641,1.35642701969445,0.470973017170886,9.54699993133545,8.20030584,78.9590243902439,8840998
1996,YR1996,Canada,CAN,1.61104803051136,21183.2200827089,0.522403482339513,1.57053112507139,9.60000038146973,8.63665594,78.2304878048781,29671900
1996,YR1996,Austria,AUT,2.39831429528101,29742.4288063177,2.26014955744756,1.84355728659551,5.2810001373291,9.52730055,76.8707317073171,7959017
1997,YR1997,Norway,NOR,5.28468478890913,36628.5174155741,4.71535514268847,2.58074114403442,4.68699979782104,8.23639913,78.1426829268293,4405157
1997,YR1997,Australia,AUS,3.9476152272907,23551.2221690706,2.79120713003836,0.250417362270427,8.36200046539307,7.49922799,78.4804878048781,18517000
1997,YR1997,Germany,DEU,1.84920066980847,27045.7191273318,1.70029072614157,1.88019239177962,9.86299991607666,10.03394379,77.0731707317073,82034771
1997,YR1997,Switzerland,CHE,2.31204734150919,40429.9372576455,2.06588322543023,0.521501239634063,4.2039999961853,9.66982037,79.079512195122,7088906
1997,YR1997,United States,USA,4.48702649316731,31572.6902298492,3.23658668253634,2.33768993730761,4.90000009536743,12.96264222,76.4292682926829,272657000
1997,YR1997,France,FRA,2.33733340443808,24359.4250618537,1.97596128154859,1.22199592668024,13.0559997558594,9.97504961,78.3048780487805,59964845
1997,YR1997,Italy,ITA,1.83536531262951,21779.6244366447,1.7815015766423,2.04310552039099,11.9989995956421,7.47161217,78.8243902439024,56890372
1997,YR1997,Sweden,SWE,2.9004828591771,29897.7926311935,2.84157664246747,0.517594973794729,10.3590002059937,8.02636126,79.1975609756098,8846062
1997,YR1997,Canada,CAN,4.279812433307,21770.1340814172,3.18336378654365,1.62121638084527,9.10000038146973,8.60408832,78.4804878048781,29987200
1997,YR1997,Austria,AUT,2.20501964036377,26646.8839392444,2.08926997275604,1.30832133193016,5.14900016784668,9.8252159,77.319512195122,7968041
1998,YR1998,Norway,NOR,2.62439690054055,34788.7785642698,2.0151761082104,2.25568550004642,3.73699998855591,9.07038563,78.3292682926829,4431464
1998,YR1998,Australia,AUS,4.44013975037123,21365.9814072816,3.35728008965977,0.853455453788537,7.67600011825562,7.66270214,78.6317073170732,18711000
1998,YR1998,Germany,DEU,1.97961840703675,27340.6728848884,1.96417613897277,0.935622317596552,9.78800010681152,10.04933602,77.4756097560976,82047195
1998,YR1998,Switzerland,CHE,2.94477246557865,41487.6901931812,2.6393407258136,0.0170096955264969,3.59699988365173,9.84654167,79.3243902439025,7110001
