,tweet_id,tweet_date,tweet_url,retweet_count,favorite_count,name,dog_stage,dog_gender,rating_numerator,rating_denominator,jpg_url,prediction,confidence
182,682389078323662849,2015-12-31 02:33:29,https://twitter.com/dog_rates/status/682389078323662849/photo/1,515,1798,Brody,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CXhVKtvW8AAyiyK.jpg,Curly-Coated Retriever,0.482288
183,682393905736888321,2015-12-31 02:52:40,https://twitter.com/dog_rates/status/682393905736888321/photo/1,757,2393,Kreg,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CXhZom1UwAA4Zz6.jpg,Vizsla,0.657275
184,682429480204398592,2015-12-31 05:14:01,https://twitter.com/dog_rates/status/682429480204398592/photo/1,1291,3707,,NaN,NaN,8.0,10.0,https://pbs.twimg.com/media/CXh5_dDWQAIbU-J.jpg,Whippet,0.594701
185,682638830361513985,2015-12-31 19:05:54,"https://twitter.com/dog_rates/status/682638830361513985/photo/1,https://twitter.com/dog_rates/status/682638830361513985/photo/1,https://twitter.com/dog_rates/status/682638830361513985/photo/1,https://twitter.com/dog_rates/status/682638830361513985/photo/1",669,2222,,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CXk4W0qWYAMEMEs.jpg,English Springer,0.440781
186,682662431982772225,2015-12-31 20:39:41,https://twitter.com/dog_rates/status/682662431982772225/photo/1,1190,3289,Joey,NaN,NaN,11.0,10.0,https://pbs.twimg.com/media/CXlN1-EWMAQdwXK.jpg,Beagle,0.413824
187,682697186228989953,2015-12-31 22:57:47,https://twitter.com/dog_rates/status/682697186228989953/photo/1,396,1411,,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CXltdtaWYAIuX_V.jpg,NaN,0.0
188,682750546109968385,2016-01-01 02:29:49,https://twitter.com/dog_rates/status/682750546109968385/photo/1,485,1637,Taco,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CXmd_bsWkAEEXck.jpg,English Setter,0.947198
189,682962037429899265,2016-01-01 16:30:13,https://twitter.com/dog_rates/status/682962037429899265/photo/1,18667,40069,Darrel,NaN,M,7.0,11.0,https://pbs.twimg.com/media/CXpeVzQW8AApKYb.jpg,Chihuahua,0.15520699999999998
190,683030066213818368,2016-01-01 21:00:32,https://twitter.com/dog_rates/status/683030066213818368/photo/1,811,2328,Lulu,NaN,F,10.0,10.0,https://pbs.twimg.com/media/CXqcOHCUQAAugTB.jpg,Boxer,0.722218
191,683098815881154561,2016-01-02 01:33:43,https://twitter.com/dog_rates/status/683098815881154561/photo/1,724,2328,,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CXrawAhWkAAWSxC.jpg,Golden Retriever,0.889848
192,683357973142474752,2016-01-02 18:43:31,https://twitter.com/dog_rates/status/683357973142474752/photo/1,1048,3182,,NaN,NaN,10.0,10.0,https://pbs.twimg.com/media/CXvGbWeWMAcRbyJ.jpg,Pembroke,0.406509
193,682259524040966145,2015-12-30 17:58:40,https://twitter.com/dog_rates/status/682259524040966145/photo/1,1358,4508,Jax,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CXffar9WYAArfpw.jpg,Siberian Husky,0.43967
194,681281657291280384,2015-12-28 01:12:59,https://twitter.com/dog_rates/status/681281657291280384/photo/1,1234,3469,Sarge,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CXRmDfWWMAADCdc.jpg,Saint Bernard,0.99883
195,681261549936340994,2015-12-27 23:53:05,https://twitter.com/dog_rates/status/681261549936340994/photo/1,303,1566,Panda,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CXRTw_5WMAAUDVp.jpg,Tibetan Terrier,0.382101
196,681242418453299201,2015-12-27 22:37:04,https://twitter.com/dog_rates/status/681242418453299201/photo/1,609,1609,Champ,NaN,M,10.0,10.0,https://pbs.twimg.com/media/CXRCXesVAAArSXt.jpg,NaN,0.0
197,679854723806179328,2015-12-24 02:42:51,https://twitter.com/dog_rates/status/679854723806179328/photo/1,1374,3099,Bruce,NaN,M,7.0,10.0,https://pbs.twimg.com/media/CW9UQ7oWkAAErmU.jpg,Chow,0.00230739
198,679862121895714818,2015-12-24 03:12:15,https://twitter.com/dog_rates/status/679862121895714818/photo/1,688,2640,,NaN,NaN,11.0,10.0,https://pbs.twimg.com/media/CW9a_h1WwAApmAy.jpg,Entlebucher,0.5232060000000001
199,679877062409191424,2015-12-24 04:11:37,https://twitter.com/dog_rates/status/679877062409191424/photo/1,714,2122,Penelope,NaN,F,5.0,10.0,https://pbs.twimg.com/media/CW9olDsUsAA0XSf.jpg,NaN,0.0
200,680055455951884288,2015-12-24 16:00:30,https://twitter.com/dog_rates/status/680055455951884288/photo/1,7926,18004,Sammy,NaN,M,10.0,10.0,https://pbs.twimg.com/media/CW-ZRC_WQAAyFrL.jpg,Samoyed,0.995466
201,680070545539371008,2015-12-24 17:00:27,https://twitter.com/dog_rates/status/680070545539371008/photo/1,972,2772,Emmie,NaN,F,9.0,10.0,https://pbs.twimg.com/media/CW-dU34WQAANBGy.jpg,Shih-Tzu,0.121811
202,680085611152338944,2015-12-24 18:00:19,"https://twitter.com/dog_rates/status/680085611152338944/photo/1,https://twitter.com/dog_rates/status/680085611152338944/photo/1,https://twitter.com/dog_rates/status/680085611152338944/photo/1",9866,13770,by,NaN,NaN,12.0,10.0,https://pbs.twimg.com/media/CXAiiHUWkAIN_28.jpg,NaN,0.0
